,hasTarget,hasAgonistAntagonist,hasSmiles,Target,targetName
0,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/UK-h-pVhy7G,Radioligand (/ligand),ClC1=CC=CC(N2CCN(CCCCOC3=CC=C4CCC(=O)NC4=C3)CC2)=C1Cl,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/UK-h-pVhy7G,D4 Dopamine Receptor
1,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/uPUdbmJQY-_,Radioligand (/ligand),ClC1=CC=CC(N2CCN(CCCCOC3=CC=C4CCC(=O)NC4=C3)CC2)=C1Cl,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/uPUdbmJQY-_,D4 Dopamine Receptor
2,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/UK-h-pVhy7G,Inhibitor,CCCCCCCCCC(=O)OCCN1CCN(CCCN2C3=CC(=CC=C3SC3=C2C=CC=C3)C(F)(F)F)CC1,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/UK-h-pVhy7G,D4 Dopamine Receptor
3,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/uPUdbmJQY-_,Inhibitor,CCCCCCCCCC(=O)OCCN1CCN(CCCN2C3=CC(=CC=C3SC3=C2C=CC=C3)C(F)(F)F)CC1,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/uPUdbmJQY-_,D4 Dopamine Receptor
4,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/UK-h-pVhy7G,Agonist,Cl.NCCC1=CC=C(O)C(O)=C1,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/UK-h-pVhy7G,D4 Dopamine Receptor
5,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/uPUdbmJQY-_,Agonist,Cl.NCCC1=CC=C(O)C(O)=C1,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/uPUdbmJQY-_,D4 Dopamine Receptor
6,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/uPUdbmJQY-_,Radioligand (/ligand),OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/uPUdbmJQY-_,D4 Dopamine Receptor
7,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/UK-h-pVhy7G,Radioligand (/ligand),OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/UK-h-pVhy7G,D4 Dopamine Receptor
8,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/UK-h-pVhy7G,Agonist,Cl.CCCN(CCC)CCC1=CC=CC2=C1CC(=O)N2,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/UK-h-pVhy7G,D4 Dopamine Receptor
9,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/uPUdbmJQY-_,Agonist,Cl.CCCN(CCC)CCC1=CC=CC2=C1CC(=O)N2,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/uPUdbmJQY-_,D4 Dopamine Receptor
10,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/uPUdbmJQY-_,Agonist,Cl.[H][C@@]12CC3=CC=C(O)C(O)=C3C3=C1C(CCN2C)=CC=C3,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/uPUdbmJQY-_,D4 Dopamine Receptor
11,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/UK-h-pVhy7G,Agonist,Cl.[H][C@@]12CC3=CC=C(O)C(O)=C3C3=C1C(CCN2C)=CC=C3,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/UK-h-pVhy7G,D4 Dopamine Receptor
12,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/uPUdbmJQY-_,Blocker,Cl.CN(C)CCCN1C2=CC(Cl)=CC=C2SC2=C1C=CC=C2,https://data.elsevier.com/lifescience/taxonomy/ppplus/target/uPUdbmJQY-_,D4 Dopamine Receptor
